240849_at,1556314_a_at,233846_at,242306_at,1554154_at,230291_s_at,238023_at,233443_at,1555548_at,224066_s_at,224370_s_at,235775_at,244630_at,228878_s_at,1553600_at,202063_s_at,223168_at,1560303_at,232421_at,244268_x_at,1567237_at,1558154_at,235072_s_at,217593_at,237643_at,221948_s_at,226573_at,215137_at,1555979_at,242366_at,236933_at,228933_at,1566690_at,208138_at,244070_at,204059_s_at,238821_at,207289_at,217413_s_at,224810_s_at,201181_at,237696_at,239657_x_at,244626_at,224133_at,217462_at,206827_s_at,236040_at,1567590_at,1569362_at,211171_s_at,1566577_at,237851_at,208819_at,225366_at,1557322_at,242180_at,221954_at,241458_at,233447_at,219461_at,1561928_s_at,209159_s_at,1555962_at,202056_at,209811_at,201489_at,239843_at,1563946_at,219355_at,208878_s_at,219495_s_at,234373_x_at,232189_at,227196_at,237707_at,234271_at,238245_at,229562_at,51158_at,207004_at,228405_at,237464_at,218979_at,204633_s_at,244494_at,1553235_at,232674_at,212848_s_at,233835_at,205486_at,242767_at,1552734_at,235889_at,234972_at,242980_at,230300_at,221676_s_at,243283_at,223888_s_at,211551_at,241361_at,217142_at,231541_s_at,228949_at,225363_at,207084_at,227618_at,1563327_a_at,1564876_s_at,212864_at,215372_x_at,208901_s_at,236849_at,236195_x_at,215507_x_at,241817_at,230514_s_at,216338_s_at,228757_at,230100_x_at,241556_at,226607_at,232076_at,204689_at,233439_at,220778_x_at,1553640_at,225013_at,235825_at,212799_at,239135_at,1561631_at,225880_at,235765_at,204108_at,233871_at,227728_at,230855_at,229482_at,235934_at,227738_s_at,211500_at,238476_at,228415_at,217597_x_at,1556228_a_at,233734_s_at,230978_at,225915_at,201056_at,201773_at,236577_at,244160_at,228412_at,229967_at,220615_s_at,238035_at,221840_at,216888_at,221408_x_at,210310_s_at,203769_s_at,234110_at,210445_at,233812_at,211445_x_at,236887_at,226115_at,238167_at,212342_at,213222_at,210341_at,202266_at,1555888_at,237234_at,1555687_a_at,202254_at,203080_s_at,219292_at,203232_s_at,209001_s_at,215636_at,236193_at,233381_at,206342_x_at,241771_at,216398_at,225024_at,222498_at,212839_s_at,1558588_at,241143_at,202822_at,217195_at,244779_at,222020_s_at,201315_x_at,1567068_at,244667_at,Class
27.9923,32.4701,21.5221,10.6884,27.4846,6.35208,12.793,42.8506,28.8818,13.7646,5.60678,9.74852,21.8899,31.4108,30.2096,30.1057,253.093,8.54819,12.2036,186.645,15.0292,34.957,616.343,36.3094,23.1446,44.0566,49.6855,47.6345,25.3894,529.563,38.683,113.661,47.3496,36.3373,13.2262,9.65407,17.0739,60.052,48.3099,2946.87,309.531,13.4062,55.3385,7.3258,26.8477,25.0886,42.4344,24.218,14.4981,9.23907,11.2321,17.7892,35.8889,1427.25,136.376,35.878,22.9754,264.451,68.8227,10.2122,14.7024,34.9955,14.8059,46.1897,324.035,69.5346,1338.55,242.013,44.6062,50.5902,392.756,74.6122,44.1025,24.1885,9.76233,10.827,20.764,35.3368,55.3063,19.4768,69.6451,90.2158,39.9625,246.265,729.549,14.9312,28.8621,17.4032,42.6295,14.4107,157.743,11.1842,15.0844,35.429,122.385,6.80985,67.2727,879.051,11.8318,18.5481,13.5242,32.5983,140.517,26.5107,326.132,4549.08,13.6415,629.309,12.3483,30.9984,506.202,90.2512,1087.88,35.2036,53.0261,43.3207,199.126,15.3694,514.857,47.5533,157.798,46.663,160.994,72.7549,250.398,19.9288,58.5058,15.2539,16.8309,17.5649,543.364,1646.53,5.47869,174.369,17.7624,299.815,8.7867,453.063,26.9322,17.2508,32.5628,99.5831,68.3604,387.186,326.803,57.8283,233.745,190.574,11.2888,51.5956,119.126,584.906,9.47676,35.1883,332.042,5239.49,557.641,564.745,1664.87,39.033,20.1228,15.9386,63.3968,9.38115,9.9114,41.8824,1410.37,22.1953,107.51,51.0745,98.5828,110.447,14.1197,1302.16,457.741,27.8885,25.4022,126.399,872.005,151.041,432.37,1248.42,12.0299,314.703,50.1819,1089.86,17.6091,22.1275,215.303,152.172,13.5299,15.203,25.2862,333.519,18.2103,68.0342,10.0459,15003.4,21.2882,24.6046,Control
58.4512,39.0206,32.9582,17.6518,34.0017,7.10711,12.5437,44.9442,36.5338,17.5586,5.90401,14.0203,40.0741,45.7322,27.7315,28.1409,316.392,10.3252,14.4262,144.706,14.6736,34.6151,532.065,33.3641,35.8905,50.2972,54.7418,61.2447,29.1043,508.925,52.9771,44.4976,69.898,43.9974,16.4439,12.0706,13.2533,89.48,85.4842,2959.14,297.259,16.1628,90.7618,10.3361,59.3991,38.8342,53.4256,25.8741,12.2587,7.46314,14.3552,42.7947,78.1943,2060.82,172.941,27.0411,30.313,327.923,68.0138,14.2142,13.7117,29.5095,17.1345,56.2728,257.501,71.8229,978.982,240.466,59.8853,24.8685,346.39,55.2679,65.7407,34.1099,10.0034,10.5053,37.5758,50.5742,58.7332,17.5737,136.107,119.024,34.7053,296.621,457.335,21.8507,29.1975,33.1914,53.3666,20.0502,145.716,14.3561,16.8744,22.0687,113.621,8.9712,33.5558,767.901,10.5063,32.5853,19.3133,37.4382,130.399,33.3011,184.255,5119.19,16.1012,366.288,16.7531,35.7717,569.494,95.0146,1188.98,20.1853,65.3077,38.0649,169.873,21.6328,386.51,54.5874,157.361,62.8129,129.679,98.2286,261.457,26.8684,103.778,15.7989,13.2915,18.7024,466.308,997.033,7.27907,166.162,26.9317,305.44,14.6798,324.552,44.4542,23.5338,45.3052,173.517,117.02,364.119,362.452,78.3093,246.625,248.404,27.0912,37.9306,72.1101,479.058,8.63029,43.6979,227.933,3318.72,407.677,439.918,1354.37,68.88,33.7948,20.2627,57.6296,7.29105,10.0726,63.8691,798.436,16.8108,69.8458,113.743,91.8452,87.6987,18.999,1268.2,213.115,62.9713,23.4107,114.402,493.28,142.213,307.626,1314.46,12.6911,580.149,69.8334,807.374,23.8157,24.1553,162.413,210.367,11.7855,21.448,39.5344,256.662,26.2938,47.898,17.8102,16771,24.0852,52.3593,Control
44.4214,17.175,26.5111,11.9362,44.5615,6.60134,12.0167,44.4163,30.3145,14.5583,6.72517,12.0098,30.0464,32.929,32.1056,29.1797,261.939,8.38616,16.5759,142.185,10.8699,41.4823,376.549,32.3141,34.3207,45.8179,44.6521,53.9064,21.1355,370.926,45.0128,45.3835,52.362,41.4467,14.7921,12.54,21.9553,73.8533,47.8392,2827.01,223.56,16.9731,53.1312,7.72376,54.9195,29.3813,56.17,29.6945,15.2262,8.19566,10.8289,30.9955,44.5213,1983.29,126.797,18.3376,25.0834,283.551,54.9394,11.5731,16.0809,34.5665,11.7372,43.7753,257.512,66.5343,1180.04,157.773,59.8459,30.2281,322.035,71.7377,48.4301,26.9299,10.2608,12.9597,17.6105,54.8113,63.6655,19.6463,92.9328,135.699,40.4555,216.292,570.246,19.1502,22.3124,17.3835,57.0492,18.5851,177.609,12.5911,9.09197,17.1778,144.999,11.5011,64.5607,929.428,16.9595,31.666,19.1132,38.5959,121.453,31.4884,291.843,4355.76,17.4885,410.011,16.6765,34.5546,510.222,86.9167,1104.89,38.8818,54.8298,38.5716,165.863,12.918,659.606,52.785,122.325,57.3363,138.158,83.9248,166.463,24.3517,92.9429,15.1073,15.436,19.7789,394.72,1346.98,6.4506,115.122,20.8815,321.321,10.0801,336.491,29.2015,15.6622,30.7933,140.358,84.2633,286.084,274.076,60.3052,209.867,147.111,16.8104,52.1797,119.598,543.706,8.61568,41.9964,293.179,3570.1,522.594,513.694,1288.91,53.5636,22.3049,13.7821,48.5166,7.05238,9.08368,52.8469,962.254,19.8305,93.7298,46.2433,83.9911,58.0344,14.6208,854.069,227.904,49.618,15.4808,100.269,487.717,140.194,217.482,1239.37,12.7565,153.454,78.2562,1219.45,14.3214,17.6605,223.838,150.401,11.9918,30.3223,17.1217,234.745,22.4965,50.0369,13.8244,15204,30.3536,37.827,Control
47.2975,26.7468,26.6367,12.3205,34.0849,5.28025,14.709,43.7707,30.6684,17.037,5.72581,8.50486,23.0303,38.3921,31.6457,26.3619,191.969,8.51423,13.7914,185.922,11.7055,41.4592,491.965,38.5322,31.3368,41.0319,43.3262,52.1528,14.9264,359.608,39.501,55.1809,53.6367,37.8336,16.6536,14.3987,20.6274,63.2297,57.1473,2256.55,241.451,13.5731,87.0224,8.02749,46.9542,23.8429,50.7627,25.0677,14.1333,7.8559,11.8082,31.2043,42.8595,1398.65,120.099,17.5381,28.3813,237.032,70.087,8.9114,14.0173,26.9925,17.3485,38.8038,273.14,89.8758,926.399,280.658,57.6482,21.071,487.098,79.4614,47.949,28.5351,10.4059,12.2193,22.744,39.7919,49.0191,18.9342,80.9094,101.457,42.2726,246.54,672.215,16.7496,28.3179,20.927,50.7624,18.0831,151.662,11.4775,12.3611,21.7269,158.017,7.36541,61.7077,970.878,12.3603,22.9391,15.0609,31.4023,127.854,28.936,283.629,3949.82,13.0104,396.04,14.9057,35.1397,366.32,91.2264,1032.6,24.5156,50.4517,57.8587,178.599,18.1615,426.844,46.7924,145.961,50.9946,137.518,74.1038,237.597,23.9167,60.161,18.9906,16.3318,18.9428,453.091,1468.46,5.81212,182.873,25.2015,243.701,9.57445,364.304,39.4038,21.2735,39.2501,108.518,83.6219,466.652,275.681,62.7439,184.402,174.698,14.4928,40.941,104.625,666.205,9.59525,37.783,226.298,4033.71,306.847,486.053,1258.54,42.1098,28.7147,15.8713,42.6328,5.86594,10.1777,56.8639,1249.11,23.2455,127.515,85.9162,72.4232,85.581,12.2888,1752.61,411.153,43.8835,15.1993,103.171,757.979,158.894,404.751,1496.96,10.926,372.604,53.6873,824.241,16.8406,23.3231,159.417,184.554,11.1528,20.5024,25.4629,314.843,16.9702,128.379,12.9104,12191.9,18.2379,36.7136,Control
55.3203,35.5281,28.8731,14.0303,29.5607,6.97612,14.1718,39.8913,24.2086,20.415,5.36562,8.94116,29.2362,48.5938,30.4182,25.8556,255.344,7.39522,13.1569,179.937,16.8163,45.6163,633.67,28.5933,34.3777,36.8647,63.7943,60.9189,22.5884,629.488,49.0728,55.946,53.0558,47.3648,17.8783,12.9054,12.2354,90.8216,69.4356,2715.83,276.436,13.2391,65.6662,8.53845,52.1372,30.7157,61.9333,29.4148,10.7841,7.09755,12.5018,31.7673,59.2112,1470.98,174.622,21.6313,30.4184,365.968,51.3565,11.5644,14.958,29.2805,16.8463,45.1731,351.72,52.8988,961.282,267.338,60.0534,31.4902,444.662,75.2276,62.811,32.3097,9.04039,10.2172,35.2728,42.8998,52.6266,22.9565,92.5636,114.846,40.4524,250.715,615.981,19.8795,22.7958,26.8349,43.5145,17.6332,160.852,10.6238,11.8922,28.9826,154.625,8.75338,52.4795,929.356,11.9026,23.3948,16.2326,34.3583,129.746,30.3012,359.281,4750.26,19.201,431.853,16.143,33.2655,501.677,95.326,916.154,34.6467,56.9151,49.4055,143.099,23.7245,532.686,49.9725,194.507,49.4701,117.658,90.6599,247.329,25.8708,82.6733,15.8499,17.1309,21.1819,530.528,2228.74,5.67381,174.86,24.4885,261.096,10.1004,394.827,46.038,25.6105,42.8195,150.748,101.726,425.732,347.325,93.5463,224.383,245.527,20.7077,51.6685,121.863,529.15,9.72569,39.3988,337.729,4145.21,448.947,591.296,1436.2,62.4504,29.3994,16.6245,85.4717,5.4506,11.2029,55.1427,1121.42,20.2627,104.784,107.806,82.0356,134.184,16.4011,1237.51,326.111,51.5076,15.2341,112.525,905.389,149.996,370.954,1710.24,12.5272,491.597,57.0391,1037.23,19.7943,21.4606,188.698,142.697,10.2754,16.8721,37.4942,348.16,21.8462,70.3195,14.956,14745.2,23.7998,48.9778,Control
49.7249,34.8597,28.4738,11.3906,44.9662,5.78061,14.2038,46.51,30.1237,16.8768,4.96891,8.57358,31.6399,29.3919,29.4838,27.8569,353.255,8.85229,14.0528,125.353,13.1252,38.1709,358.068,33.6582,28.2994,36.3317,51.5874,44.524,18.5742,356.474,50.3711,49.5678,59.7715,46.0233,11.4961,14.0989,15.2936,79.5299,60.4344,1982.05,196.813,14.9386,52.7843,8.7625,41.7484,25.6862,51.9412,30.0748,13.1096,8.19351,16.2236,26.396,62.0255,1186.31,93.6938,17.4988,31.5789,263.129,41.9607,8.14061,13.8479,31.7456,16.3997,61.9449,273.674,57.2671,862.955,210.384,53.618,39.8711,287.293,67.6031,57.379,33.0656,11.8281,8.72495,22.1779,41.1806,58.792,17.2441,92.3994,105.968,33.1698,171.973,460.845,15.1413,26.1923,26.4725,60.1564,20.0624,138.465,14.3833,10.6586,20.2536,169.025,8.66485,53.2485,867.948,11.7544,29.8111,13.5356,26.5586,143.408,25.6726,518.353,3017.67,16.3288,259.75,14.4136,33.0118,396.427,82.5703,799.275,27.222,57.3021,43.6827,134.333,21.4759,513.929,59.6099,112.968,46.3467,160.753,75.516,188.467,24.7391,74.9503,17.4809,15.8812,16.3123,395.804,1208.13,7.37014,133.714,22.8577,216.081,9.57828,319.111,32.025,23.6011,41.2918,129.133,79.2421,269.781,332.781,96.643,184.999,186.647,21.3988,70.373,87.2699,501.166,9.40022,37.9045,235.804,3994.28,350.96,386.682,927.57,61.2176,23.0301,18.1952,55.0236,7.35059,9.65703,57.7934,908.467,11.6855,76.3431,86.7207,76.4817,70.0745,14.8561,1051.62,221.242,45.7907,16.1538,93.2547,390.639,148.428,365.433,1181.15,13.6189,355.587,49.6017,731.24,21.9103,19.1491,194.874,146.557,11.3293,17.2244,29.7038,222.944,18.5205,111.734,16.3405,12930,16.2038,39.8988,Control
50.0404,29.4884,26.2159,14.3224,31.4924,5.70567,14.349,43.9046,35.8863,22.2273,4.99017,10.8595,32.0858,39.0725,31.1916,25.6216,256.261,9.42549,14.0368,181.541,15.8603,34.2784,460.212,47.7578,32.2617,37.6675,59.4373,46.8395,23.7903,457.087,46.8423,61.4963,63.5232,48.955,14.2073,15.6846,12.3275,73.4135,74.5692,2611.26,268.597,16.2626,70.4905,8.51779,57.0759,35.1636,59.9031,26.9439,12.782,12.3295,13.0811,33.2901,67.8361,1472.3,122.321,22.8087,31.4318,281.343,57.7639,9.47532,15.1113,32.8866,18.4739,56.0905,289.129,48.3535,853.098,220.387,65.9732,35.369,458.82,65.0223,64.3989,33.153,9.32949,10.742,38.0415,41.2331,51.9125,18.1715,104.673,110.361,29.6777,227.437,662.582,22.9443,25.7379,31.8118,50.1598,20.1763,158.65,9.56159,9.95082,21.9685,123.826,8.61372,52.8915,716.899,12.1196,21.999,17.3752,30.9556,150.14,31.9842,254.579,4504.03,16.4322,489.868,15.4612,37.2117,487.61,114.408,854.621,18.2805,62.542,45.2754,146.999,20.7365,490.458,54.5507,157.166,47.2942,145.629,79.6016,236.579,26.8593,88.6339,18.0242,19.8086,19.3661,521.508,1805.25,7.69717,167.969,28.8578,231.957,11.9965,436.557,44.5583,28.6152,50.5741,134.612,101.506,358.378,288.001,85.7132,178.557,215.708,18.0842,41.8674,127.462,618.44,8.18691,42.5749,172.645,3122.08,342.217,615.188,1420.89,49.3413,32.9545,16.9563,45.3617,5.79369,13.785,57.6519,1258.1,27.1023,84.0369,84.0395,69.6592,88.6366,15.099,1523.25,350.397,64.1506,24.3427,95.9639,675.67,139.675,456.851,1441.32,12.1144,203.972,58.3267,776.576,17.3328,20.2984,160.745,175.21,11.3364,18.9941,37.4859,294.125,19.3192,126.128,15.7052,12728.4,21.1471,49.2209,Control
50.4139,27.9209,25.4325,13.1574,34.0352,5.88107,16.744,37.2524,30.861,17.2226,5.16433,11.0055,30.5163,40.0425,31.1201,30.9583,243.077,7.51177,13.0439,230.594,15.0899,35.2966,689.981,41.1261,33.518,42.2202,49.5753,53.9477,22.4861,574.035,50.0584,114.283,54.5821,49.0169,16.2882,14.2169,15.5493,70.4742,65.4841,2942.67,371.27,15.3239,68.1252,9.31101,58.7035,25.0111,49.3519,30.3209,11.929,9.01274,11.2434,31.4712,52.26,808.592,237.314,32.6616,30.1086,325.445,67.0394,12.021,13.8496,34.3644,17.3934,50.0793,495.283,46.1337,885.621,320.255,60.7294,33.042,526.469,86.7749,67.7219,31.0607,8.9846,13.4151,26.0548,37.7024,53.6555,18.7867,119.021,107.385,42.2623,321.811,564.462,17.5667,28.978,31.9882,59.6713,21.2667,151.743,12.2294,10.5724,28.2413,138.61,7.725,75.1704,965.871,12.6595,29.4039,18.7904,34.993,109.271,28.5015,437.15,5560,14.5307,430.045,15.9514,36.5486,426.001,99.9108,852.798,36.4684,61.3382,44.2435,143.933,22.1058,466.469,47.7663,211.215,52.6765,123.138,92.2616,289.1,25.262,86.7916,17.5117,19.9946,19.0515,599.633,2068.42,6.70136,227.289,27.8569,218.308,10.0148,642.74,49.1824,25.0834,48.8879,134.728,93.7082,451.16,393.972,81.6051,245.355,174.651,22.129,43.2714,96.712,569.603,9.57228,42.3426,211.373,5340.87,382.147,843.469,1288.51,54.6301,32.5497,18.3102,66.385,7.19629,8.87378,63.983,1201.72,23.6594,162.093,88.6857,102.627,186.454,16.7283,1503.07,675.616,66.8876,13.3386,133.234,654.915,185.398,525.075,1452.43,11.5638,351.923,57.4197,916.152,21.1997,28.9341,199.216,189.418,12.9713,12.6717,44.2921,261.626,22.7454,74.6879,12.8572,14398.1,21.4828,58.2926,Control
55.7579,27.3472,32.6532,10.2308,34.7602,6.32105,14.3468,40.6467,33.1742,17.1352,5.32152,10.1226,29.2282,45.3913,34.5998,31.8618,150.321,6.9993,15.2221,167.733,13.6401,43.2754,583.852,39.5245,39.53,38.8714,52.853,62.6793,18.5538,402.613,56.6611,49.8183,56.1645,51.493,19.0886,20.1254,14.1939,83.0429,72.7765,2690.45,238.631,20.6753,66.5234,9.45361,56.6063,18.6617,76.5335,33.3877,12.5456,10.5805,13.9604,36.5891,49.3735,1280.35,157.521,17.9894,32.7189,306.483,47.5197,11.3244,17.7692,28.4314,21.6326,49.4326,328.342,69.405,1088.22,206.215,61.3846,39.2684,453.434,74.8696,61.8629,34.6555,9.69732,9.21766,37.8051,44.1665,48.6226,17.8213,100.475,130.208,34.225,222.946,594.88,18.6713,27.5188,33.1163,45.0459,24.3571,190.644,12.1645,11.6912,19.5157,161.693,10.1816,67.9195,1092.91,10.7349,32.9518,22.737,40.6255,143.844,31.316,393.58,4754.14,17.9681,466.699,16.5384,39.1113,509.322,97.354,983.556,16.1311,62.2188,54.4496,136.753,22.3275,434.47,63.2349,107.604,54.2755,135.639,79.0989,225.902,24.5151,87.9138,19.086,22.2131,19.4367,448.499,1683.25,5.55157,144.629,25.8797,234.377,10.2386,429.244,62.2664,24.7044,63.2559,169.874,110.877,426.256,245.259,80.3029,170.68,230.103,18.3938,38.6508,98.895,581.165,11.9314,46.8391,105.266,4406.48,484.668,570.46,1297.91,66.759,35.8419,17.6772,53.1663,5.7717,11.4493,54.9139,1065.05,15.5966,106.525,117.344,55.9632,105.534,14.3474,1590.13,308.654,52.036,14.2767,82.8925,529.214,177.133,436.009,1735.59,9.78234,292.412,66.1839,1112.6,19.0422,26.2315,157.602,150.022,10.5002,23.63,32.3326,303.654,23.3971,83.1989,14.9468,15355.7,20.2741,57.0762,Control
47.108,28.5759,25.2652,12.9951,35.9434,5.58549,11.9568,40.4657,28.3357,15.0311,6.14939,8.06452,29.0487,36.2321,29.9593,25.4288,212.966,8.90182,14.2945,154.42,14.6584,49.8549,555.461,36.5427,34.5137,33.8099,57.8822,57.2945,21.6907,362.382,47.5467,90.8695,50.6401,40.6001,16.9447,14.5831,15.9675,64.6313,52.9786,2878.14,222.488,12.3812,44.1779,8.40759,46.2513,26.54,48.1779,26.462,10.9956,8.13218,11.0822,29.8559,57.6582,1562.75,105.041,24.3931,32.2094,278.043,66.5109,11.9042,13.2195,31.0139,15.989,51.5784,253.222,52.9787,972.426,207.728,58.9731,31.5468,365.055,75.5047,46.8567,30.2147,8.53315,14.9208,27.3264,36.6116,51.0841,17.7448,87.7872,99.6075,52.3316,259.793,625.691,16.9918,26.6039,26.8755,53.9324,16.5689,163.151,10.6002,16.1845,24.3234,119.59,8.71741,59.7725,654.995,14.3351,24.3828,17.6039,33.2433,149.203,27.2072,47.1519,4398.76,15.0814,566.619,15.5116,30.7237,286.961,100.31,866.572,20.5041,59.8395,40.0067,163.873,20.0673,415.536,52.2197,163.952,46.09,135.538,72.5656,260.396,23.0979,61.8935,17.4799,18.5205,17.2058,481.188,1452.45,6.04011,164.822,23.8907,213.901,10.0975,413.836,31.1728,19.9964,41.6742,134.394,81.6486,379.789,338.967,82.8244,193.837,229.116,18.2938,53.9763,138.684,616.741,10.4562,33.6095,188.044,3859.16,427.681,546.154,1506.81,39.5055,26.4311,13.3056,55.4682,6.79921,8.82963,51.6919,1184.6,31.5529,120.158,91.9279,61.0235,118.315,14.7844,1606.98,460.195,47.9343,13.0895,138.796,935.481,128.427,362.74,1349.61,9.89391,305.925,60.7807,853.961,17.5328,21.2271,150.548,190.289,9.49203,22.6728,28.3252,370.078,24.5903,63.4638,13.6824,12032.9,19.0911,47.7206,Control
