240849_at,1556314_a_at,233846_at,1554154_at,233443_at,242306_at,235775_at,224370_s_at,238023_at,230291_s_at,1555548_at,223168_at,224066_s_at,232421_at,202063_s_at,1560303_at,244630_at,1553600_at,228878_s_at,237643_at,204059_s_at,1558154_at,244268_x_at,1567237_at,244070_at,235072_s_at,242366_at,1555979_at,238821_at,228933_at,221948_s_at,1569362_at,236933_at,215137_at,217593_at,226573_at,1557322_at,217462_at,208138_at,224133_at,224810_s_at,201181_at,221954_at,211171_s_at,1566690_at,1563946_at,217413_s_at,239843_at,212848_s_at,233447_at,206827_s_at,207289_at,236040_at,219355_at,237707_at,219495_s_at,239657_x_at,209159_s_at,244626_at,209811_at,202056_at,237696_at,51158_at,227196_at,1552734_at,225366_at,1567590_at,208819_at,241458_at,226607_at,201489_at,232189_at,229562_at,1561928_s_at,243283_at,235889_at,230300_at,1566577_at,208878_s_at,219461_at,1555962_at,237851_at,234373_x_at,228405_at,225363_at,234271_at,242180_at,205486_at,237464_at,242767_at,1553235_at,221676_s_at,236849_at,238245_at,204633_s_at,218979_at,232076_at,241361_at,232674_at,233835_at,236195_x_at,1553640_at,242980_at,1563327_a_at,231541_s_at,204689_at,211551_at,216338_s_at,212864_at,207004_at,217142_at,220778_x_at,212342_at,228949_at,212799_at,228757_at,234110_at,207084_at,225915_at,234972_at,244494_at,233871_at,227728_at,233439_at,215372_x_at,215507_x_at,236887_at,230978_at,1556228_a_at,227618_at,230100_x_at,219842_at,210310_s_at,233812_at,239135_at,212839_s_at,211445_x_at,226115_at,225024_at,227738_s_at,220615_s_at,238035_at,230855_at,244779_at,223888_s_at,204108_at,201056_at,1564876_s_at,241556_at,224975_at,235934_at,241817_at,1555687_a_at,1555888_at,209475_at,201773_at,208901_s_at,230514_s_at,211500_at,213345_at,1561631_at,204055_s_at,228415_at,238476_at,235825_at,222020_s_at,227476_at,210341_at,233381_at,226512_at,242847_at,229482_at,213222_at,206342_x_at,209001_s_at,236577_at,232829_at,216888_at,203769_s_at,221408_x_at,1567068_at,202254_at,204648_at,225013_at,1558937_s_at,225880_at,216794_at,203080_s_at,1565306_a_at,202266_at,221840_at,244667_at,215636_at,241143_at,217597_x_at,222498_at,244160_at,228412_at,208070_s_at,243009_at,Class
27.9923,32.4701,21.5221,27.4846,42.8506,10.6884,9.74852,5.60678,12.793,6.35208,28.8818,253.093,13.7646,12.2036,30.1057,8.54819,21.8899,30.2096,31.4108,23.1446,9.65407,34.957,186.645,15.0292,13.2262,616.343,529.563,25.3894,17.0739,113.661,44.0566,9.23907,38.683,47.6345,36.3094,49.6855,35.878,25.0886,36.3373,26.8477,2946.87,309.531,264.451,11.2321,47.3496,44.6062,48.3099,242.013,42.6295,10.2122,42.4344,60.052,24.218,50.5902,10.827,74.6122,55.3385,14.8059,7.3258,69.5346,324.035,13.4062,19.4768,9.76233,15.0844,136.376,14.4981,1427.25,68.8227,160.994,1338.55,24.1885,55.3063,34.9955,11.8318,35.429,67.2727,17.7892,392.756,14.7024,46.1897,35.8889,44.1025,90.2158,4549.08,20.764,22.9754,157.743,39.9625,11.1842,28.8621,879.051,35.2036,35.3368,729.549,246.265,72.7549,32.5983,17.4032,14.4107,53.0261,15.2539,6.80985,12.3483,26.5107,250.398,13.5242,514.857,506.202,69.6451,140.517,58.5058,98.5828,326.132,543.364,47.5533,9.38115,13.6415,51.5956,122.385,14.9312,8.7867,453.063,19.9288,90.2512,43.3207,22.1953,11.2888,233.745,629.309,157.798,15.8254,15.9386,41.8824,1646.53,13.5299,1410.37,107.51,215.303,99.5831,557.641,564.745,26.9322,68.0342,18.5481,299.815,119.126,30.9984,46.663,24.4851,32.5628,199.126,25.4022,457.741,578.161,584.906,1087.88,15.3694,68.3604,45.0755,5.47869,57.9672,326.803,387.186,17.5649,10.0459,367.619,14.1197,50.1819,124.507,86.9782,17.2508,110.447,1089.86,1248.42,9.47676,313.614,39.033,63.3968,20.1228,21.2882,126.399,76.0285,16.8309,15.8064,174.369,18.302,872.005,11.2684,1302.16,1664.87,24.6046,12.0299,25.2862,57.8283,152.172,35.1883,332.042,285.898,23.3812,Control
58.4512,39.0206,32.9582,34.0017,44.9442,17.6518,14.0203,5.90401,12.5437,7.10711,36.5338,316.392,17.5586,14.4262,28.1409,10.3252,40.0741,27.7315,45.7322,35.8905,12.0706,34.6151,144.706,14.6736,16.4439,532.065,508.925,29.1043,13.2533,44.4976,50.2972,7.46314,52.9771,61.2447,33.3641,54.7418,27.0411,38.8342,43.9974,59.3991,2959.14,297.259,327.923,14.3552,69.898,59.8853,85.4842,240.466,53.3666,14.2142,53.4256,89.48,25.8741,24.8685,10.5053,55.2679,90.7618,17.1345,10.3361,71.8229,257.501,16.1628,17.5737,10.0034,16.8744,172.941,12.2587,2060.82,68.0138,129.679,978.982,34.1099,58.7332,29.5095,10.5063,22.0687,33.5558,42.7947,346.39,13.7117,56.2728,78.1943,65.7407,119.024,5119.19,37.5758,30.313,145.716,34.7053,14.3561,29.1975,767.901,20.1853,50.5742,457.335,296.621,98.2286,37.4382,33.1914,20.0502,65.3077,15.7989,8.9712,16.7531,33.3011,261.457,19.3133,386.51,569.494,136.107,130.399,103.778,91.8452,184.255,466.308,54.5874,7.29105,16.1012,37.9306,113.621,21.8507,14.6798,324.552,26.8684,95.0146,38.0649,16.8108,27.0912,246.625,366.288,157.361,18.6255,20.2627,63.8691,997.033,11.7855,798.436,69.8458,162.413,173.517,407.677,439.918,44.4542,47.898,32.5853,305.44,72.1101,35.7717,62.8129,26.6645,45.3052,169.873,23.4107,213.115,681.857,479.058,1188.98,21.6328,117.02,71.4487,7.27907,17.0268,362.452,364.119,18.7024,17.8102,263.902,18.999,69.8334,95.2255,58.7211,23.5338,87.6987,807.374,1314.46,8.63029,457.176,68.88,57.6296,33.7948,24.0852,114.402,119.861,13.2915,10.5315,166.162,26.0344,493.28,17.0812,1268.2,1354.37,52.3593,12.6911,39.5344,78.3093,210.367,43.6979,227.933,234.057,10.6047,Control
44.4214,17.175,26.5111,44.5615,44.4163,11.9362,12.0098,6.72517,12.0167,6.60134,30.3145,261.939,14.5583,16.5759,29.1797,8.38616,30.0464,32.1056,32.929,34.3207,12.54,41.4823,142.185,10.8699,14.7921,376.549,370.926,21.1355,21.9553,45.3835,45.8179,8.19566,45.0128,53.9064,32.3141,44.6521,18.3376,29.3813,41.4467,54.9195,2827.01,223.56,283.551,10.8289,52.362,59.8459,47.8392,157.773,57.0492,11.5731,56.17,73.8533,29.6945,30.2281,12.9597,71.7377,53.1312,11.7372,7.72376,66.5343,257.512,16.9731,19.6463,10.2608,9.09197,126.797,15.2262,1983.29,54.9394,138.158,1180.04,26.9299,63.6655,34.5665,16.9595,17.1778,64.5607,30.9955,322.035,16.0809,43.7753,44.5213,48.4301,135.699,4355.76,17.6105,25.0834,177.609,40.4555,12.5911,22.3124,929.428,38.8818,54.8113,570.246,216.292,83.9248,38.5959,17.3835,18.5851,54.8298,15.1073,11.5011,16.6765,31.4884,166.463,19.1132,659.606,510.222,92.9328,121.453,92.9429,83.9911,291.843,394.72,52.785,7.05238,17.4885,52.1797,144.999,19.1502,10.0801,336.491,24.3517,86.9167,38.5716,19.8305,16.8104,209.867,410.011,122.325,15.7475,13.7821,52.8469,1346.98,11.9918,962.254,93.7298,223.838,140.358,522.594,513.694,29.2015,50.0369,31.666,321.321,119.598,34.5546,57.3363,25.2384,30.7933,165.863,15.4808,227.904,327.372,543.706,1104.89,12.918,84.2633,63.9153,6.4506,24.2018,274.076,286.084,19.7789,13.8244,290.802,14.6208,78.2562,114.501,78.1792,15.6622,58.0344,1219.45,1239.37,8.61568,230.687,53.5636,48.5166,22.3049,30.3536,100.269,89.0935,15.436,18.554,115.122,24.6149,487.717,14.7212,854.069,1288.91,37.827,12.7565,17.1217,60.3052,150.401,41.9964,293.179,198.407,10.3257,Control
47.2975,26.7468,26.6367,34.0849,43.7707,12.3205,8.50486,5.72581,14.709,5.28025,30.6684,191.969,17.037,13.7914,26.3619,8.51423,23.0303,31.6457,38.3921,31.3368,14.3987,41.4592,185.922,11.7055,16.6536,491.965,359.608,14.9264,20.6274,55.1809,41.0319,7.8559,39.501,52.1528,38.5322,43.3262,17.5381,23.8429,37.8336,46.9542,2256.55,241.451,237.032,11.8082,53.6367,57.6482,57.1473,280.658,50.7624,8.9114,50.7627,63.2297,25.0677,21.071,12.2193,79.4614,87.0224,17.3485,8.02749,89.8758,273.14,13.5731,18.9342,10.4059,12.3611,120.099,14.1333,1398.65,70.087,137.518,926.399,28.5351,49.0191,26.9925,12.3603,21.7269,61.7077,31.2043,487.098,14.0173,38.8038,42.8595,47.949,101.457,3949.82,22.744,28.3813,151.662,42.2726,11.4775,28.3179,970.878,24.5156,39.7919,672.215,246.54,74.1038,31.4023,20.927,18.0831,50.4517,18.9906,7.36541,14.9057,28.936,237.597,15.0609,426.844,366.32,80.9094,127.854,60.161,72.4232,283.629,453.091,46.7924,5.86594,13.0104,40.941,158.017,16.7496,9.57445,364.304,23.9167,91.2264,57.8587,23.2455,14.4928,184.402,396.04,145.961,13.0095,15.8713,56.8639,1468.46,11.1528,1249.11,127.515,159.417,108.518,306.847,486.053,39.4038,128.379,22.9391,243.701,104.625,35.1397,50.9946,23.5086,39.2501,178.599,15.1993,411.153,504.772,666.205,1032.6,18.1615,83.6219,40.8909,5.81212,46.9295,275.681,466.652,18.9428,12.9104,279.166,12.2888,53.6873,109.652,60.0172,21.2735,85.581,824.241,1496.96,9.59525,197.513,42.1098,42.6328,28.7147,18.2379,103.171,83.6447,16.3318,12.0191,182.873,21.7893,757.979,16.8156,1752.61,1258.54,36.7136,10.926,25.4629,62.7439,184.554,37.783,226.298,338.474,16.7319,Control
55.3203,35.5281,28.8731,29.5607,39.8913,14.0303,8.94116,5.36562,14.1718,6.97612,24.2086,255.344,20.415,13.1569,25.8556,7.39522,29.2362,30.4182,48.5938,34.3777,12.9054,45.6163,179.937,16.8163,17.8783,633.67,629.488,22.5884,12.2354,55.946,36.8647,7.09755,49.0728,60.9189,28.5933,63.7943,21.6313,30.7157,47.3648,52.1372,2715.83,276.436,365.968,12.5018,53.0558,60.0534,69.4356,267.338,43.5145,11.5644,61.9333,90.8216,29.4148,31.4902,10.2172,75.2276,65.6662,16.8463,8.53845,52.8988,351.72,13.2391,22.9565,9.04039,11.8922,174.622,10.7841,1470.98,51.3565,117.658,961.282,32.3097,52.6266,29.2805,11.9026,28.9826,52.4795,31.7673,444.662,14.958,45.1731,59.2112,62.811,114.846,4750.26,35.2728,30.4184,160.852,40.4524,10.6238,22.7958,929.356,34.6467,42.8998,615.981,250.715,90.6599,34.3583,26.8349,17.6332,56.9151,15.8499,8.75338,16.143,30.3012,247.329,16.2326,532.686,501.677,92.5636,129.746,82.6733,82.0356,359.281,530.528,49.9725,5.4506,19.201,51.6685,154.625,19.8795,10.1004,394.827,25.8708,95.326,49.4055,20.2627,20.7077,224.383,431.853,194.507,14.3963,16.6245,55.1427,2228.74,10.2754,1121.42,104.784,188.698,150.748,448.947,591.296,46.038,70.3195,23.3948,261.096,121.863,33.2655,49.4701,30.9587,42.8195,143.099,15.2341,326.111,530.827,529.15,916.154,23.7245,101.726,53.9932,5.67381,27.9595,347.325,425.732,21.1819,14.956,398.67,16.4011,57.0391,114.205,74.4397,25.6105,134.184,1037.23,1710.24,9.72569,328.398,62.4504,85.4717,29.3994,23.7998,112.525,95.0113,17.1309,12.0515,174.86,19.7247,905.389,13.5381,1237.51,1436.2,48.9778,12.5272,37.4942,93.5463,142.697,39.3988,337.729,271.121,16.4634,Control
49.7249,34.8597,28.4738,44.9662,46.51,11.3906,8.57358,4.96891,14.2038,5.78061,30.1237,353.255,16.8768,14.0528,27.8569,8.85229,31.6399,29.4838,29.3919,28.2994,14.0989,38.1709,125.353,13.1252,11.4961,358.068,356.474,18.5742,15.2936,49.5678,36.3317,8.19351,50.3711,44.524,33.6582,51.5874,17.4988,25.6862,46.0233,41.7484,1982.05,196.813,263.129,16.2236,59.7715,53.618,60.4344,210.384,60.1564,8.14061,51.9412,79.5299,30.0748,39.8711,8.72495,67.6031,52.7843,16.3997,8.7625,57.2671,273.674,14.9386,17.2441,11.8281,10.6586,93.6938,13.1096,1186.31,41.9607,160.753,862.955,33.0656,58.792,31.7456,11.7544,20.2536,53.2485,26.396,287.293,13.8479,61.9449,62.0255,57.379,105.968,3017.67,22.1779,31.5789,138.465,33.1698,14.3833,26.1923,867.948,27.222,41.1806,460.845,171.973,75.516,26.5586,26.4725,20.0624,57.3021,17.4809,8.66485,14.4136,25.6726,188.467,13.5356,513.929,396.427,92.3994,143.408,74.9503,76.4817,518.353,395.804,59.6099,7.35059,16.3288,70.373,169.025,15.1413,9.57828,319.111,24.7391,82.5703,43.6827,11.6855,21.3988,184.999,259.75,112.968,10.6055,18.1952,57.7934,1208.13,11.3293,908.467,76.3431,194.874,129.133,350.96,386.682,32.025,111.734,29.8111,216.081,87.2699,33.0118,46.3467,26.8299,41.2918,134.333,16.1538,221.242,285.348,501.166,799.275,21.4759,79.2421,50.1577,7.37014,13.719,332.781,269.781,16.3123,16.3405,258.627,14.8561,49.6017,85.4025,76.0188,23.6011,70.0745,731.24,1181.15,9.40022,167.472,61.2176,55.0236,23.0301,16.2038,93.2547,93.9736,15.8812,13.456,133.714,21.0323,390.639,16.5215,1051.62,927.57,39.8988,13.6189,29.7038,96.643,146.557,37.9045,235.804,213.891,11.7973,Control
50.0404,29.4884,26.2159,31.4924,43.9046,14.3224,10.8595,4.99017,14.349,5.70567,35.8863,256.261,22.2273,14.0368,25.6216,9.42549,32.0858,31.1916,39.0725,32.2617,15.6846,34.2784,181.541,15.8603,14.2073,460.212,457.087,23.7903,12.3275,61.4963,37.6675,12.3295,46.8423,46.8395,47.7578,59.4373,22.8087,35.1636,48.955,57.0759,2611.26,268.597,281.343,13.0811,63.5232,65.9732,74.5692,220.387,50.1598,9.47532,59.9031,73.4135,26.9439,35.369,10.742,65.0223,70.4905,18.4739,8.51779,48.3535,289.129,16.2626,18.1715,9.32949,9.95082,122.321,12.782,1472.3,57.7639,145.629,853.098,33.153,51.9125,32.8866,12.1196,21.9685,52.8915,33.2901,458.82,15.1113,56.0905,67.8361,64.3989,110.361,4504.03,38.0415,31.4318,158.65,29.6777,9.56159,25.7379,716.899,18.2805,41.2331,662.582,227.437,79.6016,30.9556,31.8118,20.1763,62.542,18.0242,8.61372,15.4612,31.9842,236.579,17.3752,490.458,487.61,104.673,150.14,88.6339,69.6592,254.579,521.508,54.5507,5.79369,16.4322,41.8674,123.826,22.9443,11.9965,436.557,26.8593,114.408,45.2754,27.1023,18.0842,178.557,489.868,157.166,14.2296,16.9563,57.6519,1805.25,11.3364,1258.1,84.0369,160.745,134.612,342.217,615.188,44.5583,126.128,21.999,231.957,127.462,37.2117,47.2942,30.6361,50.5741,146.999,24.3427,350.397,543.624,618.44,854.621,20.7365,101.506,56.0285,7.69717,55.4436,288.001,358.378,19.3661,15.7052,389.661,15.099,58.3267,106.284,67.1469,28.6152,88.6366,776.576,1441.32,8.18691,171.823,49.3413,45.3617,32.9545,21.1471,95.9639,90.1467,19.8086,9.94266,167.969,24.4957,675.67,17.9833,1523.25,1420.89,49.2209,12.1144,37.4859,85.7132,175.21,42.5749,172.645,300.289,13.9734,Control
50.4139,27.9209,25.4325,34.0352,37.2524,13.1574,11.0055,5.16433,16.744,5.88107,30.861,243.077,17.2226,13.0439,30.9583,7.51177,30.5163,31.1201,40.0425,33.518,14.2169,35.2966,230.594,15.0899,16.2882,689.981,574.035,22.4861,15.5493,114.283,42.2202,9.01274,50.0584,53.9477,41.1261,49.5753,32.6616,25.0111,49.0169,58.7035,2942.67,371.27,325.445,11.2434,54.5821,60.7294,65.4841,320.255,59.6713,12.021,49.3519,70.4742,30.3209,33.042,13.4151,86.7749,68.1252,17.3934,9.31101,46.1337,495.283,15.3239,18.7867,8.9846,10.5724,237.314,11.929,808.592,67.0394,123.138,885.621,31.0607,53.6555,34.3644,12.6595,28.2413,75.1704,31.4712,526.469,13.8496,50.0793,52.26,67.7219,107.385,5560,26.0548,30.1086,151.743,42.2623,12.2294,28.978,965.871,36.4684,37.7024,564.462,321.811,92.2616,34.993,31.9882,21.2667,61.3382,17.5117,7.725,15.9514,28.5015,289.1,18.7904,466.469,426.001,119.021,109.271,86.7916,102.627,437.15,599.633,47.7663,7.19629,14.5307,43.2714,138.61,17.5667,10.0148,642.74,25.262,99.9108,44.2435,23.6594,22.129,245.355,430.045,211.215,15.107,18.3102,63.983,2068.42,12.9713,1201.72,162.093,199.216,134.728,382.147,843.469,49.1824,74.6879,29.4039,218.308,96.712,36.5486,52.6765,24.34,48.8879,143.933,13.3386,675.616,795.975,569.603,852.798,22.1058,93.7082,52.765,6.70136,27.8258,393.972,451.16,19.0515,12.8572,479.257,16.7283,57.4197,164.848,93.312,25.0834,186.454,916.152,1452.43,9.57228,458.691,54.6301,66.385,32.5497,21.4828,133.234,100.977,19.9946,18.9553,227.289,18.8953,654.915,17.6677,1503.07,1288.51,58.2926,11.5638,44.2921,81.6051,189.418,42.3426,211.373,242.248,11.0433,Control
55.7579,27.3472,32.6532,34.7602,40.6467,10.2308,10.1226,5.32152,14.3468,6.32105,33.1742,150.321,17.1352,15.2221,31.8618,6.9993,29.2282,34.5998,45.3913,39.53,20.1254,43.2754,167.733,13.6401,19.0886,583.852,402.613,18.5538,14.1939,49.8183,38.8714,10.5805,56.6611,62.6793,39.5245,52.853,17.9894,18.6617,51.493,56.6063,2690.45,238.631,306.483,13.9604,56.1645,61.3846,72.7765,206.215,45.0459,11.3244,76.5335,83.0429,33.3877,39.2684,9.21766,74.8696,66.5234,21.6326,9.45361,69.405,328.342,20.6753,17.8213,9.69732,11.6912,157.521,12.5456,1280.35,47.5197,135.639,1088.22,34.6555,48.6226,28.4314,10.7349,19.5157,67.9195,36.5891,453.434,17.7692,49.4326,49.3735,61.8629,130.208,4754.14,37.8051,32.7189,190.644,34.225,12.1645,27.5188,1092.91,16.1311,44.1665,594.88,222.946,79.0989,40.6255,33.1163,24.3571,62.2188,19.086,10.1816,16.5384,31.316,225.902,22.737,434.47,509.322,100.475,143.844,87.9138,55.9632,393.58,448.499,63.2349,5.7717,17.9681,38.6508,161.693,18.6713,10.2386,429.244,24.5151,97.354,54.4496,15.5966,18.3938,170.68,466.699,107.604,12.2319,17.6772,54.9139,1683.25,10.5002,1065.05,106.525,157.602,169.874,484.668,570.46,62.2664,83.1989,32.9518,234.377,98.895,39.1113,54.2755,28.3041,63.2559,136.753,14.2767,308.654,476.781,581.165,983.556,22.3275,110.877,47.5352,5.55157,31.8197,245.259,426.256,19.4367,14.9468,342.333,14.3474,66.1839,119.78,59.4511,24.7044,105.534,1112.6,1735.59,11.9314,280.259,66.759,53.1663,35.8419,20.2741,82.8925,118.991,22.2131,11.4641,144.629,19.201,529.214,14.5967,1590.13,1297.91,57.0762,9.78234,32.3326,80.3029,150.022,46.8391,105.266,294.021,10.7273,Control
47.108,28.5759,25.2652,35.9434,40.4657,12.9951,8.06452,6.14939,11.9568,5.58549,28.3357,212.966,15.0311,14.2945,25.4288,8.90182,29.0487,29.9593,36.2321,34.5137,14.5831,49.8549,154.42,14.6584,16.9447,555.461,362.382,21.6907,15.9675,90.8695,33.8099,8.13218,47.5467,57.2945,36.5427,57.8822,24.3931,26.54,40.6001,46.2513,2878.14,222.488,278.043,11.0822,50.6401,58.9731,52.9786,207.728,53.9324,11.9042,48.1779,64.6313,26.462,31.5468,14.9208,75.5047,44.1779,15.989,8.40759,52.9787,253.222,12.3812,17.7448,8.53315,16.1845,105.041,10.9956,1562.75,66.5109,135.538,972.426,30.2147,51.0841,31.0139,14.3351,24.3234,59.7725,29.8559,365.055,13.2195,51.5784,57.6582,46.8567,99.6075,4398.76,27.3264,32.2094,163.151,52.3316,10.6002,26.6039,654.995,20.5041,36.6116,625.691,259.793,72.5656,33.2433,26.8755,16.5689,59.8395,17.4799,8.71741,15.5116,27.2072,260.396,17.6039,415.536,286.961,87.7872,149.203,61.8935,61.0235,47.1519,481.188,52.2197,6.79921,15.0814,53.9763,119.59,16.9918,10.0975,413.836,23.0979,100.31,40.0067,31.5529,18.2938,193.837,566.619,163.952,11.7161,13.3056,51.6919,1452.45,9.49203,1184.6,120.158,150.548,134.394,427.681,546.154,31.1728,63.4638,24.3828,213.901,138.684,30.7237,46.09,24.444,41.6742,163.873,13.0895,460.195,534.191,616.741,866.572,20.0673,81.6486,48.0315,6.04011,79.2553,338.967,379.789,17.2058,13.6824,311.727,14.7844,60.7807,126.948,69.9835,19.9964,118.315,853.961,1349.61,10.4562,370.129,39.5055,55.4682,26.4311,19.0911,138.796,88.7594,18.5205,17.9032,164.822,18.0594,935.481,13.9948,1606.98,1506.81,47.7206,9.89391,28.3252,82.8244,190.289,33.6095,188.044,344.412,27.1291,Control
