240849_at,1556314_a_at,233846_at,1563946_at,217593_at,228878_s_at,244268_x_at,238035_at,233443_at,230291_s_at,215137_at,1558154_at,1553600_at,241458_at,227356_at,242306_at,235775_at,1554154_at,228933_at,233871_at,237643_at,1566690_at,209159_s_at,242980_at,208819_at,224370_s_at,241170_at,237707_at,221948_s_at,238023_at,232421_at,230300_at,1557446_x_at,223168_at,217462_at,202254_at,219495_s_at,242366_at,219461_at,223167_s_at,217413_s_at,1555979_at,233546_at,1567590_at,210341_at,207084_at,234411_x_at,235889_at,208878_s_at,204059_s_at,226607_at,235072_s_at,236933_at,1555962_at,1560797_s_at,201773_at,210387_at,233835_at,226774_at,1557322_at,242180_at,219355_at,1565662_at,224810_s_at,224066_s_at,1555548_at,224287_at,1560303_at,213345_at,51158_at,216338_s_at,218979_at,210445_at,236193_at,232674_at,241361_at,203769_s_at,237851_at,226806_s_at,229562_at,229967_at,201181_at,202063_s_at,1561928_s_at,238821_at,216888_at,243283_at,227196_at,1552729_at,236660_at,1562910_at,244630_at,215636_at,219455_at,227618_at,219594_at,228949_at,221954_at,204108_at,208138_at,206738_at,206329_at,205920_at,236040_at,225200_at,236398_s_at,228642_at,239402_at,233483_at,205803_s_at,1569362_at,230100_x_at,241819_at,239657_x_at,225915_at,228250_at,213222_at,221676_s_at,217142_at,204689_at,1556228_a_at,225142_at,226137_at,215507_x_at,211171_s_at,206827_s_at,210956_at,1561631_at,1553569_at,226466_s_at,216398_at,232829_at,239847_at,218729_at,238476_at,234750_at,205486_at,225013_at,212864_at,1561459_at,1564876_s_at,226115_at,222020_s_at,243111_at,216794_at,234271_at,207004_at,228835_at,221958_s_at,241817_at,1566577_at,236849_at,238469_at,224133_at,1553235_at,223888_s_at,222498_at,228415_at,226298_at,237696_at,209056_s_at,225880_at,221840_at,239135_at,209001_s_at,232104_at,242767_at,215372_x_at,202056_at,226512_at,244070_at,203097_s_at,1563453_at,225366_at,228757_at,213261_at,233734_s_at,224975_at,91682_at,225363_at,201972_at,233447_at,234110_at,216566_at,234373_x_at,228405_at,232076_at,230532_at,1565733_at,1552415_a_at,239843_at,235038_at,211500_at,214857_at,205416_s_at,238245_at,235934_at,241143_at,227112_at,202822_at,Class
27.9923,32.4701,21.5221,44.6062,36.3094,31.4108,186.645,564.745,42.8506,6.35208,47.6345,34.957,30.2096,68.8227,827.422,10.6884,9.74852,27.4846,113.661,8.7867,23.1446,47.3496,14.8059,6.80985,1427.25,5.60678,6.28076,10.827,44.0566,12.793,12.2036,67.2727,19.9288,253.093,25.0886,126.399,74.6122,529.563,14.7024,202.661,48.3099,25.3894,7.88326,14.4981,14.1197,13.6415,26.7107,35.429,392.756,9.65407,160.994,616.343,38.683,46.1897,10.8775,584.906,104.696,14.4107,195.138,35.878,22.9754,50.5902,78.2257,2946.87,13.7646,28.8818,21.0378,8.54819,45.0755,19.4768,514.857,246.265,9.9114,314.703,17.4032,32.5983,63.3968,35.8889,39.9693,55.3063,5239.49,309.531,30.1057,34.9955,17.0739,39.033,11.8318,9.76233,40.3441,39.6897,13.9432,21.8899,12.0299,15.1281,629.309,505.426,326.132,264.451,299.815,36.3373,30.5049,18.7013,102.091,24.218,388.298,112.51,363.686,11.2398,50.685,16.6126,9.23907,157.798,101.319,55.3385,51.5956,27.647,110.447,879.051,140.517,250.398,233.745,139.509,100.188,43.3207,11.2321,42.4344,14.3727,5.47869,12215.2,315.155,22.1275,313.614,10.6566,290.121,387.186,21.5454,157.743,16.8309,506.202,14.4996,30.9984,107.51,10.0459,42.0527,18.302,20.764,69.6451,79.0764,222.002,199.126,17.7892,35.2036,96.2732,26.8477,28.8621,18.5481,152.172,326.803,238.198,13.4062,326.114,174.369,1664.87,1646.53,1248.42,32.5501,11.1842,90.2512,324.035,124.507,13.2262,998.891,20.4812,136.376,47.5533,1069.33,190.574,24.4851,33.0028,4549.08,2486.64,10.2122,9.38115,7.94944,44.1025,90.2158,72.7549,98.5422,9.87678,13.157,242.013,8.07046,68.3604,162.24,49.0282,35.3368,32.5628,25.2862,1012.7,333.519,Control
58.4512,39.0206,32.9582,59.8853,33.3641,45.7322,144.706,439.918,44.9442,7.10711,61.2447,34.6151,27.7315,68.0138,762.013,17.6518,14.0203,34.0017,44.4976,14.6798,35.8905,69.898,17.1345,8.9712,2060.82,5.90401,7.81972,10.5053,50.2972,12.5437,14.4262,33.5558,17.3848,316.392,38.8342,114.402,55.2679,508.925,13.7117,260.28,85.4842,29.1043,9.86462,12.2587,18.999,16.1012,53.3838,22.0687,346.39,12.0706,129.679,532.065,52.9771,56.2728,16.3484,479.058,132.404,20.0502,148.565,27.0411,30.313,24.8685,133.194,2959.14,17.5586,36.5338,28.9947,10.3252,71.4487,17.5737,386.51,296.621,10.0726,580.149,33.1914,37.4382,57.6296,78.1943,27.8383,58.7332,3318.72,297.259,28.1409,29.5095,13.2533,68.88,10.5063,10.0034,37.4247,18.937,21.6116,40.0741,12.6911,18.5144,366.288,338.548,184.255,327.923,305.44,43.9974,69.0927,20.7987,95.4156,25.8741,394.649,96.586,242.59,12.0628,29.0591,8.04266,7.46314,157.361,89.1597,90.7618,37.9306,25.2788,87.6987,767.901,130.399,261.457,246.625,125.942,69.3465,38.0649,14.3552,53.4256,16.4238,7.27907,11940.8,276.954,24.1553,457.176,8.59797,187.162,364.119,24.2684,145.716,13.2915,569.494,17.5447,35.7717,69.8458,17.8102,51.5373,26.0344,37.5758,136.107,45.4361,217.563,169.873,42.7947,20.1853,152.121,59.3991,29.1975,32.5853,210.367,362.452,232.523,16.1628,333.885,166.162,1354.37,997.033,1314.46,55.3083,14.3561,95.0146,257.501,95.2255,16.4439,755.097,18.7969,172.941,54.5874,1331.09,248.404,26.6645,47.5745,5119.19,2116.57,14.2142,7.29105,10.4604,65.7407,119.024,98.2286,161.913,10.7534,14.3424,240.466,10.5082,117.02,122.439,47.1313,50.5742,45.3052,39.5344,585.974,256.662,Control
44.4214,17.175,26.5111,59.8459,32.3141,32.929,142.185,513.694,44.4163,6.60134,53.9064,41.4823,32.1056,54.9394,626.76,11.9362,12.0098,44.5615,45.3835,10.0801,34.3207,52.362,11.7372,11.5011,1983.29,6.72517,6.84368,12.9597,45.8179,12.0167,16.5759,64.5607,29.18,261.939,29.3813,100.269,71.7377,370.926,16.0809,151.467,47.8392,21.1355,12.564,15.2262,14.6208,17.4885,26.3161,17.1778,322.035,12.54,138.158,376.549,45.0128,43.7753,14.6759,543.706,166.542,18.5851,201.554,18.3376,25.0834,30.2281,73.8834,2827.01,14.5583,30.3145,29.6855,8.38616,63.9153,19.6463,659.606,216.292,9.08368,153.454,17.3835,38.5959,48.5166,44.5213,37.4351,63.6655,3570.1,223.56,29.1797,34.5665,21.9553,53.5636,16.9595,10.2608,67.3641,25.4477,19.2048,30.0464,12.7565,16.8549,410.011,411.57,291.843,283.551,321.321,41.4467,62.8068,22.0099,99.2537,29.6945,339.5,102.259,543.134,14.2107,63.0109,13.183,8.19566,122.325,59.4458,53.1312,52.1797,20.8295,58.0344,929.428,121.453,166.463,209.867,96.403,41.1173,38.5716,10.8289,56.17,15.6881,6.4506,9217.12,381.435,17.6605,230.687,10.7194,275.248,286.084,15.4943,177.609,15.436,510.222,16.5759,34.5546,93.7298,13.8244,46.2011,24.6149,17.6105,92.9328,73.6771,221.111,165.863,30.9955,38.8818,81.7359,54.9195,22.3124,31.666,150.401,274.076,188.463,16.9731,249.782,115.122,1288.91,1346.98,1239.37,44.1049,12.5911,86.9167,257.512,114.501,14.7921,796.62,28.4174,126.797,52.785,1571.79,147.111,25.2384,37.9905,4355.76,1298.28,11.5731,7.05238,12.5367,48.4301,135.699,83.9248,114.648,12.4206,14.7832,157.773,9.3067,84.2633,169.02,40.0652,54.8113,30.7933,17.1217,771.697,234.745,Control
47.2975,26.7468,26.6367,57.6482,38.5322,38.3921,185.922,486.053,43.7707,5.28025,52.1528,41.4592,31.6457,70.087,694.981,12.3205,8.50486,34.0849,55.1809,9.57445,31.3368,53.6367,17.3485,7.36541,1398.65,5.72581,6.57807,12.2193,41.0319,14.709,13.7914,61.7077,24.4655,191.969,23.8429,103.171,79.4614,359.608,14.0173,184.49,57.1473,14.9264,7.4547,14.1333,12.2888,13.0104,25.9173,21.7269,487.098,14.3987,137.518,491.965,39.501,38.8038,14.2652,666.205,148.885,18.0831,169.413,17.5381,28.3813,21.071,70.4952,2256.55,17.037,30.6684,28.1242,8.51423,40.8909,18.9342,426.844,246.54,10.1777,372.604,20.927,31.4023,42.6328,42.8595,33.4005,49.0191,4033.71,241.451,26.3619,26.9925,20.6274,42.1098,12.3603,10.4059,48.1677,27.6723,20.5664,23.0303,10.926,17.6108,396.04,217.863,283.629,237.032,243.701,37.8336,39.7829,20.7619,98.8023,25.0677,341.918,70.8253,421.577,9.42191,52.9185,10.93,7.8559,145.961,90.6519,87.0224,40.941,35.6202,85.581,970.878,127.854,237.597,184.402,106.817,93.271,57.8587,11.8082,50.7627,13.2249,5.81212,12029.3,269.541,23.3231,197.513,10.1362,254.451,466.652,23.496,151.662,16.3318,366.32,13.1677,35.1397,127.515,12.9104,45.2255,21.7893,22.744,80.9094,51.9808,320.986,178.599,31.2043,24.5156,150.842,46.9542,28.3179,22.9391,184.554,275.681,214.471,13.5731,411.702,182.873,1258.54,1468.46,1496.96,49.1254,11.4775,91.2264,273.14,109.652,16.6536,1096.86,21.3298,120.099,46.7924,738.837,174.698,23.5086,44.3385,3949.82,2367.44,8.9114,5.86594,13.8974,47.949,101.457,74.1038,116.756,10.6636,11.0796,280.658,12.7162,83.6219,147.473,39.8606,39.7919,39.2501,25.4629,786.274,314.843,Control
55.3203,35.5281,28.8731,60.0534,28.5933,48.5938,179.937,591.296,39.8913,6.97612,60.9189,45.6163,30.4182,51.3565,929.915,14.0303,8.94116,29.5607,55.946,10.1004,34.3777,53.0558,16.8463,8.75338,1470.98,5.36562,6.56263,10.2172,36.8647,14.1718,13.1569,52.4795,40.9376,255.344,30.7157,112.525,75.2276,629.488,14.958,236.556,69.4356,22.5884,8.4487,10.7841,16.4011,19.201,27.9708,28.9826,444.662,12.9054,117.658,633.67,49.0728,45.1731,14.3797,529.15,86.6823,17.6332,154.088,21.6313,30.4184,31.4902,86.8796,2715.83,20.415,24.2086,33.3007,7.39522,53.9932,22.9565,532.686,250.715,11.2029,491.597,26.8349,34.3583,85.4717,59.2112,37.4833,52.6266,4145.21,276.436,25.8556,29.2805,12.2354,62.4504,11.9026,9.04039,38.4464,34.7809,20.9555,29.2362,12.5272,20.9577,431.853,372.431,359.281,365.968,261.096,47.3648,50.3361,19.903,68.9385,29.4148,373.697,105.055,439.261,9.05267,45.7332,9.83514,7.09755,194.507,90.6029,65.6662,51.6685,21.5155,134.184,929.356,129.746,247.329,224.383,135.444,90.4186,49.4055,12.5018,61.9333,15.6087,5.67381,11367.7,312.089,21.4606,328.398,8.98506,235.341,425.732,21.267,160.852,17.1309,501.677,15.3532,33.2655,104.784,14.956,47.7699,19.7247,35.2728,92.5636,64.4472,347.007,143.099,31.7673,34.6467,99.3363,52.1372,22.7958,23.3948,142.697,347.325,257.546,13.2391,356.968,174.86,1436.2,2228.74,1710.24,48.1991,10.6238,95.326,351.72,114.205,17.8783,942.804,21.9875,174.622,49.9725,1068.8,245.527,30.9587,42.4133,4750.26,2532.12,11.5644,5.4506,7.89744,62.811,114.846,90.6599,117.4,11.9682,12.6113,267.338,10.1392,101.726,161.026,36.9539,42.8998,42.8195,37.4942,1035.13,348.16,Control
49.7249,34.8597,28.4738,53.618,33.6582,29.3919,125.353,386.682,46.51,5.78061,44.524,38.1709,29.4838,41.9607,674.495,11.3906,8.57358,44.9662,49.5678,9.57828,28.2994,59.7715,16.3997,8.66485,1186.31,4.96891,5.72334,8.72495,36.3317,14.2038,14.0528,53.2485,28.9257,353.255,25.6862,93.2547,67.6031,356.474,13.8479,173.044,60.4344,18.5742,10.3633,13.1096,14.8561,16.3288,31.7904,20.2536,287.293,14.0989,160.753,358.068,50.3711,61.9449,11.9919,501.166,239.267,20.0624,144.268,17.4988,31.5789,39.8711,86.3712,1982.05,16.8768,30.1237,31.2074,8.85229,50.1577,17.2441,513.929,171.973,9.65703,355.587,26.4725,26.5586,55.0236,62.0255,35.2968,58.792,3994.28,196.813,27.8569,31.7456,15.2936,61.2176,11.7544,11.8281,37.0654,23.83,21.4521,31.6399,13.6189,17.1618,259.75,363.395,518.353,263.129,216.081,46.0233,44.7012,23.6386,70.3456,30.0748,362.857,65.7774,125.104,12.9517,54.898,10.8434,8.19351,112.968,132.22,52.7843,70.373,22.385,70.0745,867.948,143.408,188.467,184.999,90.5162,91.3715,43.6827,16.2236,51.9412,15.5518,7.37014,11266.7,506.275,19.1491,167.472,12.4122,222.485,269.781,24.5927,138.465,15.8812,396.427,15.8953,33.0118,76.3431,16.3405,49.9971,21.0323,22.1779,92.3994,60.4781,370.256,134.333,26.396,27.222,90.347,41.7484,26.1923,29.8111,146.557,332.781,246.625,14.9386,346.677,133.714,927.57,1208.13,1181.15,47.181,14.3833,82.5703,273.674,85.4025,11.4961,771.971,22.625,93.6938,59.6099,787.458,186.647,26.8299,44.0969,3017.67,1652.4,8.14061,7.35059,11.6708,57.379,105.968,75.516,105.472,10.601,14.5803,210.384,8.72441,79.2421,151.178,47.7685,41.1806,41.2918,29.7038,732.281,222.944,Control
50.0404,29.4884,26.2159,65.9732,47.7578,39.0725,181.541,615.188,43.9046,5.70567,46.8395,34.2784,31.1916,57.7639,838.501,14.3224,10.8595,31.4924,61.4963,11.9965,32.2617,63.5232,18.4739,8.61372,1472.3,4.99017,7.15992,10.742,37.6675,14.349,14.0368,52.8915,18.9313,256.261,35.1636,95.9639,65.0223,457.087,15.1113,182.617,74.5692,23.7903,7.45507,12.782,15.099,16.4322,27.4334,21.9685,458.82,15.6846,145.629,460.212,46.8423,56.0905,15.5501,618.44,63.4138,20.1763,154.81,22.8087,31.4318,35.369,76.4239,2611.26,22.2273,35.8863,30.7037,9.42549,56.0285,18.1715,490.458,227.437,13.785,203.972,31.8118,30.9556,45.3617,67.8361,29.3561,51.9125,3122.08,268.597,25.6216,32.8866,12.3275,49.3413,12.1196,9.32949,45.2213,26.9277,19.7652,32.0858,12.1144,19.4009,489.868,291.656,254.579,281.343,231.957,48.955,41.6257,19.7843,76.8542,26.9439,433.171,83.3841,402.388,8.68323,56.7507,8.51159,12.3295,157.166,112.186,70.4905,41.8674,21.1471,88.6366,716.899,150.14,236.579,178.557,90.5423,100.015,45.2754,13.0811,59.9031,16.716,7.69717,12446.9,292.824,20.2984,171.823,8.17585,249.207,358.378,23.4474,158.65,19.8086,487.61,15.0448,37.2117,84.0369,15.7052,55.1573,24.4957,38.0415,104.673,50.8723,265.358,146.999,33.2901,18.2805,109.818,57.0759,25.7379,21.999,175.21,288.001,196.82,16.2626,369.12,167.969,1420.89,1805.25,1441.32,45.4872,9.56159,114.408,289.129,106.284,14.2073,882.981,24.3081,122.321,54.5507,683.265,215.708,30.6361,42.5782,4504.03,2281.44,9.47532,5.79369,8.20359,64.3989,110.361,79.6016,111.815,12.5449,14.6735,220.387,9.11148,101.506,139.331,35.5093,41.2331,50.5741,37.4859,665.124,294.125,Control
50.4139,27.9209,25.4325,60.7294,41.1261,40.0425,230.594,843.469,37.2524,5.88107,53.9477,35.2966,31.1201,67.0394,1324.53,13.1574,11.0055,34.0352,114.283,10.0148,33.518,54.5821,17.3934,7.725,808.592,5.16433,6.36143,13.4151,42.2202,16.744,13.0439,75.1704,19.6664,243.077,25.0111,133.234,86.7749,574.035,13.8496,277.233,65.4841,22.4861,10.396,11.929,16.7283,14.5307,26.6673,28.2413,526.469,14.2169,123.138,689.981,50.0584,50.0793,16.544,569.603,94.8908,21.2667,186.614,32.6616,30.1086,33.042,83.7932,2942.67,17.2226,30.861,33.9538,7.51177,52.765,18.7867,466.469,321.811,8.87378,351.923,31.9882,34.993,66.385,52.26,37.5408,53.6555,5340.87,371.27,30.9583,34.3644,15.5493,54.6301,12.6595,8.9846,39.0641,50.6615,22.634,30.5163,11.5638,19.0848,430.045,434.104,437.15,325.445,218.308,49.0169,44.1431,20.5433,70.0217,30.3209,414.237,174.95,409.851,10.6774,55.202,10.5944,9.01274,211.215,120.46,68.1252,43.2714,23.6765,186.454,965.871,109.271,289.1,245.355,145.641,90.152,44.2435,11.2434,49.3519,17.6763,6.70136,11448.2,317.412,28.9341,458.691,9.31197,258.431,451.16,22.4596,151.743,19.9946,426.001,16.6757,36.5486,162.093,12.8572,52.3835,18.8953,26.0548,119.021,75.6432,347.147,143.933,31.4712,36.4684,106.478,58.7035,28.978,29.4039,189.418,393.972,231.608,15.3239,380.845,227.289,1288.51,2068.42,1452.43,49.5815,12.2294,99.9108,495.283,164.848,16.2882,1295.32,23.9464,237.314,47.7663,470.845,174.651,24.34,45.2567,5560,3321.18,12.021,7.19629,10.4185,67.7219,107.385,92.2616,138.631,13.2934,12.8257,320.255,13.0711,93.7082,99.5986,44.7107,37.7024,48.8879,44.2921,1186.69,261.626,Control
55.7579,27.3472,32.6532,61.3846,39.5245,45.3913,167.733,570.46,40.6467,6.32105,62.6793,43.2754,34.5998,47.5197,735.564,10.2308,10.1226,34.7602,49.8183,10.2386,39.53,56.1645,21.6326,10.1816,1280.35,5.32152,6.17544,9.21766,38.8714,14.3468,15.2221,67.9195,32.5064,150.321,18.6617,82.8925,74.8696,402.613,17.7692,215.27,72.7765,18.5538,8.84335,12.5456,14.3474,17.9681,31.635,19.5157,453.434,20.1254,135.639,583.852,56.6611,49.4326,13.7503,581.165,224.487,24.3571,194.646,17.9894,32.7189,39.2684,80.7164,2690.45,17.1352,33.1742,35.0579,6.9993,47.5352,17.8213,434.47,222.946,11.4493,292.412,33.1163,40.6255,53.1663,49.3735,39.4107,48.6226,4406.48,238.631,31.8618,28.4314,14.1939,66.759,10.7349,9.69732,48.8213,26.5388,23.5999,29.2282,9.78234,18.2574,466.699,340.379,393.58,306.483,234.377,51.493,54.4514,22.191,97.07,33.3877,388.837,82.8299,360.008,9.31124,57.6581,12.8942,10.5805,107.604,107.872,66.5234,38.6508,27.2644,105.534,1092.91,143.844,225.902,170.68,94.6482,55.6318,54.4496,13.9604,76.5335,19.7925,5.55157,13300.1,299.52,26.2315,280.259,8.3477,167.42,426.256,21.6591,190.644,22.2131,509.322,15.1034,39.1113,106.525,14.9468,47.2941,19.201,37.8051,100.475,133.132,306.969,136.753,36.5891,16.1311,133.239,56.6063,27.5188,32.9518,150.022,245.259,227.419,20.6753,368.567,144.629,1297.91,1683.25,1735.59,53.7915,12.1645,97.354,328.342,119.78,19.0886,1061.68,23.6218,157.521,63.2349,952.462,230.103,28.3041,56.8578,4754.14,2205.82,11.3244,5.7717,8.48317,61.8629,130.208,79.0989,158.068,12.8858,16.5383,206.215,9.37038,110.877,131.859,35.6108,44.1665,63.2559,32.3326,720.221,303.654,Control
47.108,28.5759,25.2652,58.9731,36.5427,36.2321,154.42,546.154,40.4657,5.58549,57.2945,49.8549,29.9593,66.5109,656.137,12.9951,8.06452,35.9434,90.8695,10.0975,34.5137,50.6401,15.989,8.71741,1562.75,6.14939,6.36846,14.9208,33.8099,11.9568,14.2945,59.7725,14.9109,212.966,26.54,138.796,75.5047,362.382,13.2195,231.006,52.9786,21.6907,7.59629,10.9956,14.7844,15.0814,26.1728,24.3234,365.055,14.5831,135.538,555.461,47.5467,51.5784,15.4875,616.741,194.528,16.5689,200.802,24.3931,32.2094,31.5468,74.8861,2878.14,15.0311,28.3357,28.8827,8.90182,48.0315,17.7448,415.536,259.793,8.82963,305.925,26.8755,33.2433,55.4682,57.6582,31.1148,51.0841,3859.16,222.488,25.4288,31.0139,15.9675,39.5055,14.3351,8.53315,52.5309,26.6566,16.4864,29.0487,9.89391,17.9397,566.619,270.507,47.1519,278.043,213.901,40.6001,43.9244,18.3931,60.1766,26.462,344.821,90.3538,599.494,10.2113,66.3068,10.7368,8.13218,163.952,112.089,44.1779,53.9763,25.0037,118.315,654.995,149.203,260.396,193.837,88.3643,66.8326,40.0067,11.0822,48.1779,13.4182,6.04011,12085.1,305.92,21.2271,370.129,8.60742,238.863,379.789,19.5146,163.151,18.5205,286.961,14.9353,30.7237,120.158,13.6824,43.7483,18.0594,27.3264,87.7872,65.2958,74.2664,163.873,29.8559,20.5041,103.149,46.2513,26.6039,24.3828,190.289,338.967,210.889,12.3812,322.724,164.822,1506.81,1452.45,1349.61,53.214,10.6002,100.31,253.222,126.948,16.9447,1016.98,22.6221,105.041,52.2197,981.185,229.116,24.444,45.1983,4398.76,2058,11.9042,6.79921,7.31874,46.8567,99.6075,72.5656,114.336,8.38744,12.2184,207.728,9.33372,81.6486,174.439,34.7205,36.6116,41.6742,28.3252,703.118,370.078,Control
