240849_at,1554154_at,230291_s_at,238023_at,233443_at,224370_s_at,1560303_at,1567237_at,226573_at,244070_at,206827_s_at,1569362_at,242180_at,1561928_s_at,1555962_at,209811_at,201489_at,227196_at,237707_at,1553235_at,212848_s_at,231541_s_at,207084_at,1564876_s_at,212864_at,236195_x_at,215507_x_at,228757_at,220778_x_at,1553640_at,225013_at,235825_at,1561631_at,235765_at,233871_at,1556228_a_at,230978_at,201056_at,244160_at,234110_at,213222_at,1555888_at,1555687_a_at,203080_s_at,219292_at,209001_s_at,241771_at,222020_s_at,Class
27.9923,27.4846,6.35208,12.793,42.8506,5.60678,8.54819,15.0292,49.6855,13.2262,42.4344,9.23907,22.9754,34.9955,46.1897,69.5346,1338.55,9.76233,10.827,28.8621,42.6295,26.5107,13.6415,30.9984,506.202,53.0261,43.3207,47.5533,58.5058,15.2539,16.8309,17.5649,5.47869,17.7624,8.7867,233.745,11.2888,119.126,35.1883,9.38115,110.447,457.741,25.4022,872.005,151.041,1248.42,17.6091,10.0459,Control
58.4512,34.0017,7.10711,12.5437,44.9442,5.90401,10.3252,14.6736,54.7418,16.4439,53.4256,7.46314,30.313,29.5095,56.2728,71.8229,978.982,10.0034,10.5053,29.1975,53.3666,33.3011,16.1012,35.7717,569.494,65.3077,38.0649,54.5874,103.778,15.7989,13.2915,18.7024,7.27907,26.9317,14.6798,246.625,27.0912,72.1101,43.6979,7.29105,87.6987,213.115,23.4107,493.28,142.213,1314.46,23.8157,17.8102,Control
44.4214,44.5615,6.60134,12.0167,44.4163,6.72517,8.38616,10.8699,44.6521,14.7921,56.17,8.19566,25.0834,34.5665,43.7753,66.5343,1180.04,10.2608,12.9597,22.3124,57.0492,31.4884,17.4885,34.5546,510.222,54.8298,38.5716,52.785,92.9429,15.1073,15.436,19.7789,6.4506,20.8815,10.0801,209.867,16.8104,119.598,41.9964,7.05238,58.0344,227.904,15.4808,487.717,140.194,1239.37,14.3214,13.8244,Control
47.2975,34.0849,5.28025,14.709,43.7707,5.72581,8.51423,11.7055,43.3262,16.6536,50.7627,7.8559,28.3813,26.9925,38.8038,89.8758,926.399,10.4059,12.2193,28.3179,50.7624,28.936,13.0104,35.1397,366.32,50.4517,57.8587,46.7924,60.161,18.9906,16.3318,18.9428,5.81212,25.2015,9.57445,184.402,14.4928,104.625,37.783,5.86594,85.581,411.153,15.1993,757.979,158.894,1496.96,16.8406,12.9104,Control
55.3203,29.5607,6.97612,14.1718,39.8913,5.36562,7.39522,16.8163,63.7943,17.8783,61.9333,7.09755,30.4184,29.2805,45.1731,52.8988,961.282,9.04039,10.2172,22.7958,43.5145,30.3012,19.201,33.2655,501.677,56.9151,49.4055,49.9725,82.6733,15.8499,17.1309,21.1819,5.67381,24.4885,10.1004,224.383,20.7077,121.863,39.3988,5.4506,134.184,326.111,15.2341,905.389,149.996,1710.24,19.7943,14.956,Control
49.7249,44.9662,5.78061,14.2038,46.51,4.96891,8.85229,13.1252,51.5874,11.4961,51.9412,8.19351,31.5789,31.7456,61.9449,57.2671,862.955,11.8281,8.72495,26.1923,60.1564,25.6726,16.3288,33.0118,396.427,57.3021,43.6827,59.6099,74.9503,17.4809,15.8812,16.3123,7.37014,22.8577,9.57828,184.999,21.3988,87.2699,37.9045,7.35059,70.0745,221.242,16.1538,390.639,148.428,1181.15,21.9103,16.3405,Control
50.0404,31.4924,5.70567,14.349,43.9046,4.99017,9.42549,15.8603,59.4373,14.2073,59.9031,12.3295,31.4318,32.8866,56.0905,48.3535,853.098,9.32949,10.742,25.7379,50.1598,31.9842,16.4322,37.2117,487.61,62.542,45.2754,54.5507,88.6339,18.0242,19.8086,19.3661,7.69717,28.8578,11.9965,178.557,18.0842,127.462,42.5749,5.79369,88.6366,350.397,24.3427,675.67,139.675,1441.32,17.3328,15.7052,Control
50.4139,34.0352,5.88107,16.744,37.2524,5.16433,7.51177,15.0899,49.5753,16.2882,49.3519,9.01274,30.1086,34.3644,50.0793,46.1337,885.621,8.9846,13.4151,28.978,59.6713,28.5015,14.5307,36.5486,426.001,61.3382,44.2435,47.7663,86.7916,17.5117,19.9946,19.0515,6.70136,27.8569,10.0148,245.355,22.129,96.712,42.3426,7.19629,186.454,675.616,13.3386,654.915,185.398,1452.43,21.1997,12.8572,Control
55.7579,34.7602,6.32105,14.3468,40.6467,5.32152,6.9993,13.6401,52.853,19.0886,76.5335,10.5805,32.7189,28.4314,49.4326,69.405,1088.22,9.69732,9.21766,27.5188,45.0459,31.316,17.9681,39.1113,509.322,62.2188,54.4496,63.2349,87.9138,19.086,22.2131,19.4367,5.55157,25.8797,10.2386,170.68,18.3938,98.895,46.8391,5.7717,105.534,308.654,14.2767,529.214,177.133,1735.59,19.0422,14.9468,Control
47.108,35.9434,5.58549,11.9568,40.4657,6.14939,8.90182,14.6584,57.8822,16.9447,48.1779,8.13218,32.2094,31.0139,51.5784,52.9787,972.426,8.53315,14.9208,26.6039,53.9324,27.2072,15.0814,30.7237,286.961,59.8395,40.0067,52.2197,61.8935,17.4799,18.5205,17.2058,6.04011,23.8907,10.0975,193.837,18.2938,138.684,33.6095,6.79921,118.315,460.195,13.0895,935.481,128.427,1349.61,17.5328,13.6824,Control
