242306_at,244630_at,228878_s_at,1567237_at,244070_at,242366_at,221954_at,211171_s_at,219495_s_at,239657_x_at,244626_at,227196_at,225366_at,1567590_at,201489_at,1561928_s_at,243283_at,1555962_at,237851_at,1553640_at,242980_at,207004_at,228949_at,228757_at,207084_at,234972_at,230978_at,227618_at,211445_x_at,227738_s_at,1564876_s_at,241556_at,241817_at,1555687_a_at,1555888_at,209475_at,1561631_at,204055_s_at,222020_s_at,227476_at,213222_at,204648_at,216794_at,1565306_a_at,221840_at,215636_at,Class
10.6884,21.8899,31.4108,15.0292,13.2262,529.563,264.451,11.2321,74.6122,55.3385,7.3258,9.76233,136.376,14.4981,1338.55,34.9955,11.8318,46.1897,35.8889,15.2539,6.80985,69.6451,326.132,47.5533,13.6415,122.385,11.2888,629.309,1410.37,99.5831,30.9984,46.663,199.126,25.4022,457.741,578.161,5.47869,57.9672,10.0459,367.619,110.447,76.0285,18.302,11.2684,1664.87,12.0299,Control
17.6518,40.0741,45.7322,14.6736,16.4439,508.925,327.923,14.3552,55.2679,90.7618,10.3361,10.0034,172.941,12.2587,978.982,29.5095,10.5063,56.2728,78.1943,15.7989,8.9712,136.107,184.255,54.5874,16.1012,113.621,27.0912,366.288,798.436,173.517,35.7717,62.8129,169.873,23.4107,213.115,681.857,7.27907,17.0268,17.8102,263.902,87.6987,119.861,26.0344,17.0812,1354.37,12.6911,Control
11.9362,30.0464,32.929,10.8699,14.7921,370.926,283.551,10.8289,71.7377,53.1312,7.72376,10.2608,126.797,15.2262,1180.04,34.5665,16.9595,43.7753,44.5213,15.1073,11.5011,92.9328,291.843,52.785,17.4885,144.999,16.8104,410.011,962.254,140.358,34.5546,57.3363,165.863,15.4808,227.904,327.372,6.4506,24.2018,13.8244,290.802,58.0344,89.0935,24.6149,14.7212,1288.91,12.7565,Control
12.3205,23.0303,38.3921,11.7055,16.6536,359.608,237.032,11.8082,79.4614,87.0224,8.02749,10.4059,120.099,14.1333,926.399,26.9925,12.3603,38.8038,42.8595,18.9906,7.36541,80.9094,283.629,46.7924,13.0104,158.017,14.4928,396.04,1249.11,108.518,35.1397,50.9946,178.599,15.1993,411.153,504.772,5.81212,46.9295,12.9104,279.166,85.581,83.6447,21.7893,16.8156,1258.54,10.926,Control
14.0303,29.2362,48.5938,16.8163,17.8783,629.488,365.968,12.5018,75.2276,65.6662,8.53845,9.04039,174.622,10.7841,961.282,29.2805,11.9026,45.1731,59.2112,15.8499,8.75338,92.5636,359.281,49.9725,19.201,154.625,20.7077,431.853,1121.42,150.748,33.2655,49.4701,143.099,15.2341,326.111,530.827,5.67381,27.9595,14.956,398.67,134.184,95.0113,19.7247,13.5381,1436.2,12.5272,Control
11.3906,31.6399,29.3919,13.1252,11.4961,356.474,263.129,16.2236,67.6031,52.7843,8.7625,11.8281,93.6938,13.1096,862.955,31.7456,11.7544,61.9449,62.0255,17.4809,8.66485,92.3994,518.353,59.6099,16.3288,169.025,21.3988,259.75,908.467,129.133,33.0118,46.3467,134.333,16.1538,221.242,285.348,7.37014,13.719,16.3405,258.627,70.0745,93.9736,21.0323,16.5215,927.57,13.6189,Control
14.3224,32.0858,39.0725,15.8603,14.2073,457.087,281.343,13.0811,65.0223,70.4905,8.51779,9.32949,122.321,12.782,853.098,32.8866,12.1196,56.0905,67.8361,18.0242,8.61372,104.673,254.579,54.5507,16.4322,123.826,18.0842,489.868,1258.1,134.612,37.2117,47.2942,146.999,24.3427,350.397,543.624,7.69717,55.4436,15.7052,389.661,88.6366,90.1467,24.4957,17.9833,1420.89,12.1144,Control
13.1574,30.5163,40.0425,15.0899,16.2882,574.035,325.445,11.2434,86.7749,68.1252,9.31101,8.9846,237.314,11.929,885.621,34.3644,12.6595,50.0793,52.26,17.5117,7.725,119.021,437.15,47.7663,14.5307,138.61,22.129,430.045,1201.72,134.728,36.5486,52.6765,143.933,13.3386,675.616,795.975,6.70136,27.8258,12.8572,479.257,186.454,100.977,18.8953,17.6677,1288.51,11.5638,Control
10.2308,29.2282,45.3913,13.6401,19.0886,402.613,306.483,13.9604,74.8696,66.5234,9.45361,9.69732,157.521,12.5456,1088.22,28.4314,10.7349,49.4326,49.3735,19.086,10.1816,100.475,393.58,63.2349,17.9681,161.693,18.3938,466.699,1065.05,169.874,39.1113,54.2755,136.753,14.2767,308.654,476.781,5.55157,31.8197,14.9468,342.333,105.534,118.991,19.201,14.5967,1297.91,9.78234,Control
12.9951,29.0487,36.2321,14.6584,16.9447,362.382,278.043,11.0822,75.5047,44.1779,8.40759,8.53315,105.041,10.9956,972.426,31.0139,14.3351,51.5784,57.6582,17.4799,8.71741,87.7872,47.1519,52.2197,15.0814,119.59,18.2938,566.619,1184.6,134.394,30.7237,46.09,163.873,13.0895,460.195,534.191,6.04011,79.2553,13.6824,311.727,118.315,88.7594,18.0594,13.9948,1506.81,9.89391,Control
