1553235_at,1553640_at,1554154_at,1555687_a_at,1555888_at,1555962_at,1556228_a_at,1557322_at,1560303_at,1561631_at,1561928_s_at,1564876_s_at,1565306_a_at,1567237_at,1567590_at,1569362_at,201056_at,201489_at,202063_s_at,203080_s_at,203769_s_at,204055_s_at,204648_at,206329_at,206827_s_at,207004_at,207084_at,208819_at,209001_s_at,209475_at,209811_at,210387_at,210956_at,211171_s_at,211445_x_at,212848_s_at,212864_at,213222_at,214857_at,215507_x_at,215636_at,216794_at,216888_at,217142_at,218729_at,219292_at,219495_s_at,220778_x_at,221840_at,221954_at,222020_s_at,223888_s_at,224370_s_at,225013_at,225366_at,226298_at,226573_at,227196_at,227476_at,227618_at,227738_s_at,228757_at,228835_at,228878_s_at,228949_at,230291_s_at,230978_at,231541_s_at,233443_at,233546_at,233871_at,234110_at,234271_at,234972_at,235765_at,235825_at,235934_at,236195_x_at,236849_at,237707_at,237851_at,238023_at,238821_at,239135_at,239657_x_at,239847_at,240849_at,241458_at,241556_at,241771_at,241817_at,242180_at,242306_at,242366_at,242980_at,243283_at,244070_at,244160_at,244626_at,244630_at,51158_at,Class
28.8621,15.2539,27.4846,25.4022,457.741,46.1897,233.745,35.878,8.54819,5.47869,34.9955,30.9984,11.2684,15.0292,14.4981,9.23907,119.126,1338.55,30.1057,872.005,63.3968,57.9672,76.0285,18.7013,42.4344,69.6451,13.6415,1427.25,1248.42,578.161,69.5346,104.696,14.3727,11.2321,1410.37,42.6295,506.202,110.447,162.24,43.3207,12.0299,18.302,39.033,140.517,290.121,151.041,74.6122,58.5058,1664.87,264.451,10.0459,18.5481,5.60678,16.8309,136.376,238.198,49.6855,9.76233,367.619,629.309,99.5831,47.5533,79.0764,31.4108,326.132,6.35208,11.2888,26.5107,42.8506,7.88326,8.7867,9.38115,20.764,122.385,17.7624,17.5649,32.5628,53.0261,35.2036,10.827,35.8889,12.793,17.0739,1646.53,55.3385,10.6566,27.9923,68.8227,46.663,17.6091,199.126,22.9754,10.6884,529.563,6.80985,11.8318,13.2262,35.1883,7.3258,21.8899,19.4768,Control
29.1975,15.7989,34.0017,23.4107,213.115,56.2728,246.625,27.0411,10.3252,7.27907,29.5095,35.7717,17.0812,14.6736,12.2587,7.46314,72.1101,978.982,28.1409,493.28,57.6296,17.0268,119.861,20.7987,53.4256,136.107,16.1012,2060.82,1314.46,681.857,71.8229,132.404,16.4238,14.3552,798.436,53.3666,569.494,87.6987,122.439,38.0649,12.6911,26.0344,68.88,130.399,187.162,142.213,55.2679,103.778,1354.37,327.923,17.8102,32.5853,5.90401,13.2915,172.941,232.523,54.7418,10.0034,263.902,366.288,173.517,54.5874,45.4361,45.7322,184.255,7.10711,27.0912,33.3011,44.9442,9.86462,14.6798,7.29105,37.5758,113.621,26.9317,18.7024,45.3052,65.3077,20.1853,10.5053,78.1943,12.5437,13.2533,997.033,90.7618,8.59797,58.4512,68.0138,62.8129,23.8157,169.873,30.313,17.6518,508.925,8.9712,10.5063,16.4439,43.6979,10.3361,40.0741,17.5737,Control
22.3124,15.1073,44.5615,15.4808,227.904,43.7753,209.867,18.3376,8.38616,6.4506,34.5665,34.5546,14.7212,10.8699,15.2262,8.19566,119.598,1180.04,29.1797,487.717,48.5166,24.2018,89.0935,22.0099,56.17,92.9328,17.4885,1983.29,1239.37,327.372,66.5343,166.542,15.6881,10.8289,962.254,57.0492,510.222,58.0344,169.02,38.5716,12.7565,24.6149,53.5636,121.453,275.248,140.194,71.7377,92.9429,1288.91,283.551,13.8244,31.666,6.72517,15.436,126.797,188.463,44.6521,10.2608,290.802,410.011,140.358,52.785,73.6771,32.929,291.843,6.60134,16.8104,31.4884,44.4163,12.564,10.0801,7.05238,17.6105,144.999,20.8815,19.7789,30.7933,54.8298,38.8818,12.9597,44.5213,12.0167,21.9553,1346.98,53.1312,10.7194,44.4214,54.9394,57.3363,14.3214,165.863,25.0834,11.9362,370.926,11.5011,16.9595,14.7921,41.9964,7.72376,30.0464,19.6463,Control
28.3179,18.9906,34.0849,15.1993,411.153,38.8038,184.402,17.5381,8.51423,5.81212,26.9925,35.1397,16.8156,11.7055,14.1333,7.8559,104.625,926.399,26.3619,757.979,42.6328,46.9295,83.6447,20.7619,50.7627,80.9094,13.0104,1398.65,1496.96,504.772,89.8758,148.885,13.2249,11.8082,1249.11,50.7624,366.32,85.581,147.473,57.8587,10.926,21.7893,42.1098,127.854,254.451,158.894,79.4614,60.161,1258.54,237.032,12.9104,22.9391,5.72581,16.3318,120.099,214.471,43.3262,10.4059,279.166,396.04,108.518,46.7924,51.9808,38.3921,283.629,5.28025,14.4928,28.936,43.7707,7.4547,9.57445,5.86594,22.744,158.017,25.2015,18.9428,39.2501,50.4517,24.5156,12.2193,42.8595,14.709,20.6274,1468.46,87.0224,10.1362,47.2975,70.087,50.9946,16.8406,178.599,28.3813,12.3205,359.608,7.36541,12.3603,16.6536,37.783,8.02749,23.0303,18.9342,Control
22.7958,15.8499,29.5607,15.2341,326.111,45.1731,224.383,21.6313,7.39522,5.67381,29.2805,33.2655,13.5381,16.8163,10.7841,7.09755,121.863,961.282,25.8556,905.389,85.4717,27.9595,95.0113,19.903,61.9333,92.5636,19.201,1470.98,1710.24,530.827,52.8988,86.6823,15.6087,12.5018,1121.42,43.5145,501.677,134.184,161.026,49.4055,12.5272,19.7247,62.4504,129.746,235.341,149.996,75.2276,82.6733,1436.2,365.968,14.956,23.3948,5.36562,17.1309,174.622,257.546,63.7943,9.04039,398.67,431.853,150.748,49.9725,64.4472,48.5938,359.281,6.97612,20.7077,30.3012,39.8913,8.4487,10.1004,5.4506,35.2728,154.625,24.4885,21.1819,42.8195,56.9151,34.6467,10.2172,59.2112,14.1718,12.2354,2228.74,65.6662,8.98506,55.3203,51.3565,49.4701,19.7943,143.099,30.4184,14.0303,629.488,8.75338,11.9026,17.8783,39.3988,8.53845,29.2362,22.9565,Control
26.1923,17.4809,44.9662,16.1538,221.242,61.9449,184.999,17.4988,8.85229,7.37014,31.7456,33.0118,16.5215,13.1252,13.1096,8.19351,87.2699,862.955,27.8569,390.639,55.0236,13.719,93.9736,23.6386,51.9412,92.3994,16.3288,1186.31,1181.15,285.348,57.2671,239.267,15.5518,16.2236,908.467,60.1564,396.427,70.0745,151.178,43.6827,13.6189,21.0323,61.2176,143.408,222.485,148.428,67.6031,74.9503,927.57,263.129,16.3405,29.8111,4.96891,15.8812,93.6938,246.625,51.5874,11.8281,258.627,259.75,129.133,59.6099,60.4781,29.3919,518.353,5.78061,21.3988,25.6726,46.51,10.3633,9.57828,7.35059,22.1779,169.025,22.8577,16.3123,41.2918,57.3021,27.222,8.72495,62.0255,14.2038,15.2936,1208.13,52.7843,12.4122,49.7249,41.9607,46.3467,21.9103,134.333,31.5789,11.3906,356.474,8.66485,11.7544,11.4961,37.9045,8.7625,31.6399,17.2441,Control
25.7379,18.0242,31.4924,24.3427,350.397,56.0905,178.557,22.8087,9.42549,7.69717,32.8866,37.2117,17.9833,15.8603,12.782,12.3295,127.462,853.098,25.6216,675.67,45.3617,55.4436,90.1467,19.7843,59.9031,104.673,16.4322,1472.3,1441.32,543.624,48.3535,63.4138,16.716,13.0811,1258.1,50.1598,487.61,88.6366,139.331,45.2754,12.1144,24.4957,49.3413,150.14,249.207,139.675,65.0223,88.6339,1420.89,281.343,15.7052,21.999,4.99017,19.8086,122.321,196.82,59.4373,9.32949,389.661,489.868,134.612,54.5507,50.8723,39.0725,254.579,5.70567,18.0842,31.9842,43.9046,7.45507,11.9965,5.79369,38.0415,123.826,28.8578,19.3661,50.5741,62.542,18.2805,10.742,67.8361,14.349,12.3275,1805.25,70.4905,8.17585,50.0404,57.7639,47.2942,17.3328,146.999,31.4318,14.3224,457.087,8.61372,12.1196,14.2073,42.5749,8.51779,32.0858,18.1715,Control
28.978,17.5117,34.0352,13.3386,675.616,50.0793,245.355,32.6616,7.51177,6.70136,34.3644,36.5486,17.6677,15.0899,11.929,9.01274,96.712,885.621,30.9583,654.915,66.385,27.8258,100.977,20.5433,49.3519,119.021,14.5307,808.592,1452.43,795.975,46.1337,94.8908,17.6763,11.2434,1201.72,59.6713,426.001,186.454,99.5986,44.2435,11.5638,18.8953,54.6301,109.271,258.431,185.398,86.7749,86.7916,1288.51,325.445,12.8572,29.4039,5.16433,19.9946,237.314,231.608,49.5753,8.9846,479.257,430.045,134.728,47.7663,75.6432,40.0425,437.15,5.88107,22.129,28.5015,37.2524,10.396,10.0148,7.19629,26.0548,138.61,27.8569,19.0515,48.8879,61.3382,36.4684,13.4151,52.26,16.744,15.5493,2068.42,68.1252,9.31197,50.4139,67.0394,52.6765,21.1997,143.933,30.1086,13.1574,574.035,7.725,12.6595,16.2882,42.3426,9.31101,30.5163,18.7867,Control
27.5188,19.086,34.7602,14.2767,308.654,49.4326,170.68,17.9894,6.9993,5.55157,28.4314,39.1113,14.5967,13.6401,12.5456,10.5805,98.895,1088.22,31.8618,529.214,53.1663,31.8197,118.991,22.191,76.5335,100.475,17.9681,1280.35,1735.59,476.781,69.405,224.487,19.7925,13.9604,1065.05,45.0459,509.322,105.534,131.859,54.4496,9.78234,19.201,66.759,143.844,167.42,177.133,74.8696,87.9138,1297.91,306.483,14.9468,32.9518,5.32152,22.2131,157.521,227.419,52.853,9.69732,342.333,466.699,169.874,63.2349,133.132,45.3913,393.58,6.32105,18.3938,31.316,40.6467,8.84335,10.2386,5.7717,37.8051,161.693,25.8797,19.4367,63.2559,62.2188,16.1311,9.21766,49.3735,14.3468,14.1939,1683.25,66.5234,8.3477,55.7579,47.5197,54.2755,19.0422,136.753,32.7189,10.2308,402.613,10.1816,10.7349,19.0886,46.8391,9.45361,29.2282,17.8213,Control
26.6039,17.4799,35.9434,13.0895,460.195,51.5784,193.837,24.3931,8.90182,6.04011,31.0139,30.7237,13.9948,14.6584,10.9956,8.13218,138.684,972.426,25.4288,935.481,55.4682,79.2553,88.7594,18.3931,48.1779,87.7872,15.0814,1562.75,1349.61,534.191,52.9787,194.528,13.4182,11.0822,1184.6,53.9324,286.961,118.315,174.439,40.0067,9.89391,18.0594,39.5055,149.203,238.863,128.427,75.5047,61.8935,1506.81,278.043,13.6824,24.3828,6.14939,18.5205,105.041,210.889,57.8822,8.53315,311.727,566.619,134.394,52.2197,65.2958,36.2321,47.1519,5.58549,18.2938,27.2072,40.4657,7.59629,10.0975,6.79921,27.3264,119.59,23.8907,17.2058,41.6742,59.8395,20.5041,14.9208,57.6582,11.9568,15.9675,1452.45,44.1779,8.60742,47.108,66.5109,46.09,17.5328,163.873,32.2094,12.9951,362.382,8.71741,14.3351,16.9447,33.6095,8.40759,29.0487,17.7448,Control
